,mloglik,tc,mass1,mass2,distance,ra,dec,polarization,inclination,spin1z,spin2z
227,-179203.22716492246,3.099999537070067,38.60008720826591,29.299946144644572,1000.0232977983976,1.3700940373343542,-1.2600017557504208,2.7599269538840625,5.293487390750893e-05,1.3543826114326047e-06,1.7960287448969032e-06
228,-179203.2268060892,3.099999359533439,38.600056677205274,29.29996922750802,1000.0346746101637,1.3701467963583638,-1.2600111812257746,2.759895726283281,5.238214218470501e-05,1.7183091771737462e-06,2.3153794194353807e-06
229,-179203.22718318983,3.09999992231846,38.60010799383409,29.299924141084283,999.9952820647275,1.3700144884674945,-1.2599932903108058,2.7599896331239298,5.419135333464625e-05,3.3929073410430007e-07,6.421592660334637e-07
230,-179203.22699619242,3.0999999582703186,38.600126515545476,29.29990975488416,999.9988768324265,1.3699953945391945,-1.259991300995753,2.7600216951583203,5.476865670230107e-05,-1.1091125518579914e-08,-1.6536065718083226e-07
231,-179203.2271771229,3.0999996743427545,38.600079666267334,29.299948321911078,1000.010347587439,1.3700767769784694,-1.2600014908518542,2.7599384820107624,5.32210265926335e-05,1.0452749494084825e-06,1.6421543011562903e-06
232,-179203.22698829157,3.0999997239432724,38.60013306566967,29.2999066546997,1000.0269314440227,1.370043020850845,-1.2600020160087642,2.7599572774836156,5.402116143940849e-05,5.350932508429897e-07,5.423921672859278e-07
233,-179203.22718016544,3.0999997740457124,38.60007916202352,29.299947877523596,999.999349159965,1.3700555261766305,-1.2599970481446379,2.759966105853259,5.356582190412103e-05,7.964405551509331e-07,1.3014338687172086e-06
234,-179203.22708245984,3.1000000006328854,38.60003970193933,29.299972042457767,1000.0053598980878,1.3700096292543473,-1.2599881264942117,2.7599955754103993,5.445852231206908e-05,4.3870730185013504e-07,2.4731597779130663e-09
235,-179203.22704942705,3.100000021363366,38.60002423291176,29.299983360254632,1000.0035366082228,1.3700062391402572,-1.2599930914981023,2.7599996857309117,5.494594794743135e-05,-5.126817295503623e-07,-2.2764587807236365e-08
236,-179203.22718892375,3.0999997158311383,38.60010943404404,29.2999257958318,1000.0087335096528,1.3700591486435718,-1.2599982122950208,2.759957201433191,5.341095582000923e-05,1.1146352829255611e-06,1.236773647784981e-06
237,-179203.2270295886,3.0999995777571936,38.600136311803055,29.299908676203255,1000.009317242577,1.370083298908431,-1.2600069013913793,2.7599394755256874,5.317720411448548e-05,8.408708518987902e-07,1.8782420763319844e-06
238,-179203.2272006065,3.0999998949139624,38.60006385441924,29.299956200849312,1000.0063492342101,1.3700280466678683,-1.2599928202185036,2.759981550439221,5.413819276267318e-05,5.392481893622988e-07,4.714153889164309e-07
239,-179203.2271128505,3.099999814659654,38.600028800970655,29.29998297476614,1000.0060728293956,1.3700367437106293,-1.2599996214977118,2.7599657401528535,5.3441554957971266e-05,7.031564809026159e-07,1.6811763722357957e-06
240,-179203.22720551456,3.0999997928606744,38.600107190034514,29.29992635870411,1000.0076895561687,1.370047807043734,-1.2599961368941655,2.7599699480826367,5.399902000269154e-05,6.034586894248847e-07,6.039328065948162e-07
241,-179203.22718720848,3.1000000210351946,38.5999995331047,29.300001756840608,1000.0096261463538,1.37000637973687,-1.260000506976879,2.759995643589286,5.4289930552044215e-05,5.622170608230626e-07,1.6758938419402997e-07
242,-179203.2271533135,3.099999798561464,38.59999687838568,29.300006474528146,999.9891654428075,1.3700394573211476,-1.260002316622321,2.7599657734555967,5.3977367827951815e-05,7.865634462611311e-07,5.981437205864683e-07
243,-179203.22721713706,3.0999998505819635,38.600096667097155,29.299933252364777,1000.0145185371334,1.3700376029967751,-1.2599960309051825,2.7599759410346536,5.388024231747327e-05,5.599604877642535e-07,8.801512509508843e-07
244,-179203.22715353165,3.100000192115904,38.600041491931705,29.299966596286563,999.9870813607324,1.3699711180079288,-1.2599933515689887,2.760027947229325,5.5079434749749526e-05,-2.4227742163984947e-07,-4.069067620272821e-07
